word,meaning,sentence,translation
agree,賛成する,I agree with your opinion.,私はあなたの意見に賛成です。
agree,（主語の中で）意見が一致する,We agree on this point.,私たちはこの点で意見が一致しています。
agree,（with ～）（気候，食べ物が）（～に）合う,The food agrees with me.,その食べ物は私の体に合います。
oppose,～に反対する,Many people oppose the plan.,多くの人々がその計画に反対しています。
advise,～に忠告する,My teacher advised me to study harder.,先生は私にもっと勉強するよう忠告しました。
tip,助言，ヒント,She gave me a useful tip.,彼女は私に役立つ助言をくれました。
tip,チップ,I left a tip at the restaurant.,私はレストランにチップを置きました。
tip,（足や山などの）先，先端（いずれも〈可算〉）,The tip of the mountain was covered with snow.,山の先端は雪で覆われていました。
discuss,～について話し合う，議論する,We discussed the problem.,私たちはその問題について話し合いました。
discuss,～を話題に出す,He discussed his future plans.,彼は将来の計画を話題に出しました。
blame,～に責任があるとする,They blamed him for the mistake.,彼らはその間違いの責任を彼に負わせました。
argue,（that SV）～と主張する,He argued that the rule was unfair.,彼はその規則は不公平だと主張しました。
argue,（with ～）（～と）言い争う,I argued with my brother.,私は兄弟と言い争いました。
claim,（that SV）～と主張する,She claimed that she was right.,彼女は自分が正しいと主張しました。
claim,～を要求する，主張する,He claimed his reward.,彼は報酬を要求しました。
claim,主張，要求,His claim was accepted.,彼の主張は認められました。
complain,文句を言う，苦情を言う,The customer complained about the service.,その客はサービスについて苦情を言いました。
complain,（of ～）（病気などを）訴える,He complained of a headache.,彼は頭痛を訴えました。
offer,～を申し出る,She offered to help me.,彼女は私を助けると申し出ました。
offer,申し出,Thank you for your offer.,申し出をありがとう。
offer,値引き,This store has a special offer.,この店には特別な値引きがあります。
suggest,～を示唆する,The results suggest a problem.,その結果は問題を示唆しています。
suggest,～を提案する,I suggest a new idea.,私は新しい考えを提案します。
recommend,～を推薦する，勧める,I recommend this book.,私はこの本を勧めます。
grateful,感謝している,I am grateful for your help.,あなたの助けに感謝しています。
apologize,（to ～）（～に）謝る,I apologized to my friend.,私は友達に謝りました。
excuse,言い訳,That is just an excuse.,それはただの言い訳です。
excuse,～を許す,Please excuse my mistake.,私の間違いを許してください。
excuse,（A from B）（B からA）を免除する,The teacher excused him from homework.,先生は彼を宿題から免除しました。
celebrate,（特別な日、出来事）を祝う,We celebrate his birthday.,私たちは彼の誕生日を祝います。
celebrate,（儀式など）を挙行する，執り行う,They celebrated the ceremony.,彼らは式典を執り行いました。
congratulate,（人）を祝う，～にお祝いを述べる,I congratulated her on her success.,私は彼女の成功を祝いました。
admire,～を称賛する，～に感心する,I admire his courage.,私は彼の勇気に感心します。
impress,～に感銘を与える，～を感心させる,The movie impressed me.,その映画は私に感銘を与えました。
award,賞,He won an award.,彼は賞を取りました。
award,～を授与する,They awarded him a prize.,彼らは彼に賞を授与しました。
explain,～を説明する,Can you explain this rule?,この規則を説明できますか。
describe,～を説明する,She described the scene.,彼女はその場面を説明しました。
communicate,（with ～）（～と）意思の疎通をはかる,We communicate with each other.,私たちは互いに意思疎通します。
communicate,～を伝える,Please communicate the message.,そのメッセージを伝えてください。
express,（意見，気持ち）を表現する,He expressed his feelings.,彼は気持ちを表現しました。
express,急行（列車，バス）,I took an express train.,私は急行列車に乗りました。
promise,約束,He kept his promise.,彼は約束を守りました。
promise,～を約束する,I promise to help you.,私はあなたを助けると約束します。
information,情報〈不可算〉,I need more information.,私はもっと情報が必要です。
technology,（科学）技術,Technology changes quickly.,技術は急速に変化します。
research,（学術）研究,This research is important.,この研究は重要です。
research,～を研究する,Scientists research new medicines.,科学者は新しい薬を研究します。
material,材料，生地,Wood is a useful material.,木は役立つ材料です。
material,資料，教材,The teacher gave us materials.,先生は私たちに教材をくれました。
material,物質的な,He needs material support.,彼には物質的支援が必要です。
material,重大な,There was a material difference.,重大な違いがありました。
artificial,人工的な,The flower is artificial.,その花は人工的です。
electric,電気の，電動の,I bought an electric car.,私は電気自動車を買いました。
invent,～を発明する,He invented a new machine.,彼は新しい機械を発明しました。
invent,（話など）をでっち上げる,He invented a story.,彼は話をでっち上げました。
discover,～を発見する,They discovered a new planet.,彼らは新しい惑星を発見しました。
discover,（that SV）～を知る，～に気がつく,I discovered that he was right.,私は彼が正しいと気づきました。
discover,（知るという意味で）～に出会う,She discovered a new talent.,彼女は新しい才能に出会いました。
develop,発達する,Children develop quickly.,子どもは早く発達します。
develop,～を発達させる,We develop our skills.,私たちは技能を伸ばします。
develop,～を開発する,The company developed a product.,会社は製品を開発しました。
develop,（話，考え）を発展させる,He developed the idea.,彼はその考えを発展させました。
develop,（病気）にかかる,He developed a fever.,彼は熱が出ました。
skill,技術，力,She has good communication skills.,彼女は優れたコミュニケーション能力を持っています。
ability,能力,He has the ability to solve problems.,彼には問題を解決する能力があります。
talent,才能,She has a talent for music.,彼女には音楽の才能があります。
effort,努力,Your effort was successful.,あなたの努力は成功しました。
practice,練習,I need more practice.,私はもっと練習が必要です。
practice,実践,Practice is important for learning.,実践は学習に重要です。
practice,慣習,This is a common practice.,これは一般的な慣習です。
practice,～を練習する,I practice English every day.,私は毎日英語を練習します。
practice,～を実践する,We practice what we learn.,私たちは学んだことを実践します。
achieve,～を達成する,She achieved her goal.,彼女は目標を達成しました。
manage,（to do）何とかして～する,I managed to finish the work.,私は何とか仕事を終えました。
manage,～を経営する，管理する,He manages a company.,彼は会社を経営しています。
improve,～を改善する，磨く,I want to improve my English.,私は英語を上達させたいです。
improve,よくなる,The weather improved.,天気がよくなりました。
produce,～を生産する，産出する,The factory produces cars.,その工場は車を生産します。
produce,（見せるために）～を取り出す,He produced a ticket.,彼はチケットを取り出しました。
produce,農作物〈不可算〉,Fresh produce is sold here.,新鮮な農産物がここで売られています。
create,～を創造する,She created a new design.,彼女は新しいデザインを創造しました。
create,～を引き起こす,The problem created confusion.,その問題は混乱を引き起こしました。
establish,～を確立する，定着させる,They established a new system.,彼らは新しい制度を確立しました。
establish,～を設立する,He established a company.,彼は会社を設立しました。
form,～を形成する,Clouds form in the sky.,雲は空に形成されます。
form,形態,This form is useful.,この形態は役立ちます。
form,書式,Please fill out this form.,この書式に記入してください。
save,（時間，手間）を省く,This saves time.,これは時間を省きます。
save,～を貯金する,I save money every month.,私は毎月お金を貯めます。
save,（命など）を救う,The doctor saved his life.,医者は彼の命を救いました。
save,～を除いて（＝except）,Everyone came save John.,ジョンを除いて全員来ました。
medicine,（for ～）（～の）薬,I took medicine for my cold.,私は風邪の薬を飲みました。
medicine,医学（＝medical science）,She studies medicine.,彼女は医学を学んでいます。
patient,患者,The patient needs help.,その患者は助けが必要です。
patient,忍耐強い,He is very patient.,彼はとても忍耐強いです。
condition,状態，容態,His condition is improving.,彼の状態は改善しています。
condition,（通例 ―s）（周囲の）状況，条件,Living conditions are important.,生活条件は重要です。
medical,医療の,Medical care is necessary.,医療が必要です。
medical,医学の,He has medical knowledge.,彼は医学知識があります。
stress,ストレス,Too much stress is harmful.,過度のストレスは有害です。
stress,（on ～）（～に対する）強調,The stress is on safety.,安全が強調されています。
stress,～を強調する,He stressed the importance of study.,彼は勉強の重要性を強調しました。
suffer,（from ～）（病気などで）苦しむ,She suffers from a disease.,彼女は病気に苦しんでいます。
suffer,（苦痛，損害）を経験する,They suffered great damage.,彼らは大きな被害を経験しました。
